"TIME","Z1","Z2","Z3","MD","FU","ESS","ES1","ES2","ES3","SP","DZ1","DZ2","DZ3","F2A","F2L","EFT","SEQ","SEQF","BIGD","DEBUG.FU","DEBUG.GAMMA","DEBUG.ES3"
"40",348500,-0.069723153048834,-0.0400199135400676,0.0958786181323125,9.98689877043412e-08,846.349477663969,1.1799970383392e-10,2.82305446777368e-13,1.17717398387143e-10,0,7.19144827877292e-12,-6.87132254426586e-08,-4.07218899155255e-08,9.97509880005073e-08,-0.68798412219653,-0.407723746152711,0.00436675846010698,5.66348301296186,9.4944365066163,6.74124037254725,-1,1,-1
"41",388900,-0.0723588089849845,-0.0416131176555764,0.0997431408262789,9.17460528791066e-08,1006.87878658253,9.11192629159505e-11,2.12447012181181e-13,9.09068159037694e-11,0,6.04164653309102e-12,-6.1859836343432e-08,-3.81681354771496e-08,9.16549336161907e-08,-0.674206258323024,-0.415991980068462,0.00373949231416119,5.65105833585156,9.01613389740688,6.91494951031726,-1,1,-1
"42",434022,-0.0750610121977361,-0.0432643517795585,0.103727859362894,8.51056687405181e-08,1174.28844693191,7.24742451165861e-11,1.65160688767252e-13,7.23090844278189e-11,0,5.06870862448806e-12,-5.79425137736039e-08,-3.50604048216359e-08,8.50331944954015e-08,-0.680789704215959,-0.411938679800373,0.00325964642547632,5.67629204447281,8.61270626565419,7.06878649675515,-1,1,-1
"43",478422,-0.0775114274273423,-0.0447565232395201,0.107335837905371,7.76294912963358e-08,1417.48918523791,5.47654910561498e-11,1.21364695932681e-13,5.46441263602172e-11,0,4.24614666724674e-12,-5.2500286007846e-08,-3.21878577111832e-08,7.75747258052797e-08,-0.676256067748773,-0.414611723863156,0.00275537598703948,5.63730275859936,8.14347487580029,7.25705107047738,-1,1,-1
"44",533902,-0.0802789153688108,-0.0464727824260463,0.111449260211047,7.08637390726039e-08,1708.39143247955,4.1479802418438e-11,8.94095768964447e-14,4.13903928415415e-11,0,3.48125051080004e-12,-4.73576168400383e-08,-2.97183401930141e-08,7.08222592701855e-08,-0.668258422217129,-0.419352417909369,0.00233235420760775,5.64354495571516,7.70337381693051,7.4437596298104,-1,1,-1
"45",599503,-0.083262853348731,-0.0483409168594368,0.115906767481827,6.51714441606314e-08,2027.80995031085,3.21388324140736e-11,6.75340403530522e-14,3.20712983737205e-11,0,2.81210467710432e-12,-4.36547961202126e-08,-2.72649979230037e-08,6.51393053282173e-08,-0.669816559816265,-0.418339993202448,0.00200135763536421,5.68068218809025,7.32022401943513,7.61520741007048,-1,1,-1
"46",672143,-0.0862750605742588,-0.0502234488972104,0.120403333294344,5.87378140323199e-08,2508.52736212566,2.34152574610736e-11,4.76726996117904e-14,2.33675847614618e-11,0,2.21842625639956e-12,-3.93034973490344e-08,-2.4594213173905e-08,5.87143987748589e-08,-0.669109220815487,-0.418695941158168,0.00165509555791347,5.6262996663712,6.87106138978506,7.82800661268237,-1,1,-1
"47",736211,-0.0887107942273182,-0.0517517411720941,0.124047249133313,5.51259856322246e-08,2856.45958148746,1.92987101898773e-11,3.85407932652072e-14,1.92601693966121e-11,0,1.83604189652018e-12,-3.67798139753673e-08,-2.31430659462284e-08,5.51066869220347e-08,-0.667173359266488,-0.419807372093074,0.00147384169505406,5.65086715933796,6.61048134454586,7.95793339622745,-1,1,-1
"48",816091,-0.0914930051684014,-0.0535233749113877,0.128241658938224,4.99875045677102e-08,3489.76069812772,1.43240493809587e-11,2.77677021749918e-14,1.42962816787837e-11,0,1.43340270667311e-12,-3.29331016893975e-08,-2.12333444727605e-08,4.99731805183292e-08,-0.65880778881294,-0.424760863800032,0.00123250484436125,5.61384455816244,6.22795810923676,8.15825010677856,-1,1,-1
"49",887011,-0.0937588027199132,-0.0549671724992519,0.131659200330535,4.64759100456886e-08,4050.69972787928,1.14735510326313e-11,2.17548207193615e-14,1.14517962119119e-11,0,1.15777903065672e-12,-3.10163532342591e-08,-1.95007151037918e-08,4.6464436494656e-08,-0.667347461574648,-0.419577138070233,0.00107889441188741,5.63040033910227,5.9576609737154,8.30736057044561,-1,1,-1
